Name-CN,Name-EN,图标分类-CN,图标分类-EN,图标预览,图标标签,UI 设计负责人,预计完成时间
复制,copy,常用图标,Base,copy.svg (https://dl.airtable.com/.attachments/7c6caa12643df46243f480b05bad5668/409dfa9f/copy.svg),复制，拷贝，克隆,常留留 常,2019-03-19
终端,terminal,常用图标,Base,terminal.svg (https://dl.airtable.com/.attachments/7afe4dbfc85243f1e3ffe8941ef71d15/4f906106/terminal.svg),技术，终端，命令行，代码框,常留留 常,2019-05-29
保存,save,常用图标,Base,save.svg (https://dl.airtable.com/.attachments/aa49f287f7c4bf12559e9b4dfffb8594/736b30cb/save.svg),保存，存储，暂存，草稿,常留留 常,2019-05-27
保存硬盘,save-one,常用图标,Base,,保存，存储，暂存，草稿,,
磁带,tape,声音,Music,tape.svg (https://dl.airtable.com/.attachments/380e6218a019b0e1864879ef340257ef/fc12979c/tape.svg),磁带，音乐，复古，收音机、,齐 奉飞,2019-05-29
信息,message,交流沟通,Communicate,消息.svg (https://dl.airtable.com/.attachments/3c7ee6c2ead830fbfa0376eb992ba7df/e5a636b1.svg),聊天，消息，社交，通讯，沟通,金 磊,2019-10-12
信息已发送,message-sent,交流沟通,Communicate,消息已发送.svg (https://dl.airtable.com/.attachments/50c393e8dceb83ff03d534e63d26cd4d/b65c9093.svg),发送信息，消息，完成,金 磊,2019-10-12
浏览器,browser,常用图标,Base,browser.svg (https://dl.airtable.com/.attachments/f938004cf0454db572a9e255359b9c91/e473e578/browser.svg),窗口，浏览器,常留留 常,2019-05-31
剪切板,clipboard,书籍,Books,clipboard .svg (https://dl.airtable.com/.attachments/98d1e44a7439c5d5ec1ff4cfd61b3527/078a50b1/clipboard.svg),板，画板，黏贴板，公告板,常留留 常,2019-05-30
录音,voice,声音,Music,voice.svg (https://dl.airtable.com/.attachments/093d9c381f1cff0a09a69d544f27fc2c/2c19628b/voice.svg),音量，语音，录音，麦克风,常留留 常,2019-05-28
关闭录音,voice-off,声音,Music,voice-off.svg (https://dl.airtable.com/.attachments/53ec48d4d8866e56434b846e449e6a3b/3ad0a721/voice-off.svg),关闭音量，关闭语音，关闭录音，关闭麦克风，close,常留留 常,2020-01-17
解锁,unlock,常用图标,Base,unlock.svg (https://dl.airtable.com/.attachments/9b6e89a37fcb2decd5f75ff2ba3fc326/87230eb9/unlock.svg),解锁，开锁，锁定，打开,刘心乐,2019-03-22
锁定,lock,常用图标,Base,lock.svg (https://dl.airtable.com/.attachments/6ddd908c4f8f6b46affa36a08dd7240e/2f64e32a/lock.svg),锁定，锁死，关闭,刘心乐,2019-03-22
文件夹-开,folder-open,书籍,Books,folder-open.svg (https://dl.airtable.com/.attachments/4457a8139e3c4a810e0877e7cc02dee8/63ac5a14/folder-open.svg),文件夹，办公,齐 奉飞,2019-03-19
文件夹-关,folder-close,书籍,Books,folder-close.svg (https://dl.airtable.com/.attachments/5b3cb661f287f9b7cf116b7258b1ce22/47c4d7d7/folder-close.svg),文件夹，关闭文件夹,齐 奉飞,2019-03-19
文件夹-下载,folder-download,书籍,Books,folder-download.svg (https://dl.airtable.com/.attachments/c99d6f44b2c120475a01c2ff156b97e4/15398c12/folder-download.svg),文件夹，下载，下载文件,常留留 常,2019-05-27
文件夹-添加,folder-plus,书籍,Books,folder-plus.svg (https://dl.airtable.com/.attachments/b4cb845aeed7e6dd9a308ed5968f7a65/9db2b034/folder-plus.svg),文件夹，添加，办公,齐 奉飞,2019-03-19
文件夹-删除,folder-minus,书籍,Books,folder-minus.svg (https://dl.airtable.com/.attachments/dd04e0cdfc66a6e6c947fdef51795c72/63e4b214/folder-minus.svg),文件夹，删除，办公,齐 奉飞,2019-03-19
卡片查看模式,view-grid-card,常用图标,Base,view-grid.svg (https://dl.airtable.com/.attachments/9663a8ad17126a3c8f23c22a47f595a6/3420a57b/view-grid.svg),列表，列表模式，宫格模式，卡片，网格视图,常留留 常,2019-05-28
列表查看模式,view-grid-list,常用图标,Base,view-list-grid.svg (https://dl.airtable.com/.attachments/607ce6b7494dc4fe0da4125aafa0051b/644b5bdb/view-list-grid.svg),详情卡片，详情模式，列表模式，列表,常留留 常,2019-05-28
详情查看模式,view-grid-detail,常用图标,Base,view-list-grid1.svg (https://dl.airtable.com/.attachments/057a3405b576efadd103a5dbd7a4dd82/8ca7ffdb/view-list-grid1.svg),详细，列表，列表模式,刘心乐,2019-05-28
笔记本,notebook,书籍,Books,notebook1.svg (https://dl.airtable.com/.attachments/1c62f0f9cea7fef3c5c59ca394b95b32/c1cedc6f/notebook1.svg),文档，通讯录,刘心乐,2019-03-21
摄像,monitor,常用图标,Base,monitor.svg (https://dl.airtable.com/.attachments/91ded5172da84b2e6ca8996321d10884/271a2eae/monitor.svg),拍摄，录像，摄像机，影像，电影,刘心乐,2019-03-21
关闭摄像,monitor-off,常用图标,Base,monitor-off.svg (https://dl.airtable.com/.attachments/3205b8b0a5024211fe7f225ae88f5335/95dac3ed/monitor-off.svg),拍摄，录像，摄像机，影像，电影，关闭,常留留 常,2020-01-17
照片,pic,常用图标,Base,pic.svg (https://dl.airtable.com/.attachments/241f63d416588de2609c1fed019e7627/9a0c7816/pic.svg),图片，画面，图形,常留留 常,2019-03-21
3D眼镜,three-d-glasses,常用图标,Base,3D-glasses.svg (https://dl.airtable.com/.attachments/67cd4194ea2911de36d1b8bc0902b4ba/e628909b/3D-glasses.svg),眼镜，三维立体，3d，三维,常留留 常,2019-11-22
眼镜,glasses,常用图标,Base,,眼镜，乔布斯，近视，镜片，观察，搜索,金 磊,2020-02-11
望远镜,telescope,常用图标,Base,telescope.svg (https://dl.airtable.com/.attachments/f09e5b36eaa3d486ab221e58cbe6a94b/8e0488eb/telescope.svg),望远镜，侦查，观察，监视,金 磊,2019-08-16
理财,financing,常用图标,Base,financing1.svg (https://dl.airtable.com/.attachments/32ad2b1791dac60fd8d945bdf89686a9/f1b20ebf/financing1.svg),货币兑换，钱币，金属钱币，财产，铜钱,齐 奉飞,2019-05-30
金融,finance,钱财,Money,finance.svg (https://dl.airtable.com/.attachments/5f9de5542116837464365bf0c3fd4cc1/96bdc0e7/finance.svg),钱，钱包，财产，金融，金钱,齐 奉飞,2019-05-30
电影,movie,常用图标,Base,movie.svg (https://dl.airtable.com/.attachments/5fed888605a8e71ad16ee7f7a793ca57/5c86b1a1/movie.svg),视频，胶片，电影，电视,常留留 常,2019-03-21
禁止,forbid,常用图标,Base,forbid.svg (https://dl.airtable.com/.attachments/5086368f505b0af1cbc3a60dacf36b72/86d42f7a/forbid.svg),禁止，不允许,齐 奉飞,2019-03-19
