Name-CN,Name-EN,图标分类-CN,图标分类-EN,图标预览,图标标签,UI 设计负责人,预计完成时间
井号,pound,常用图标,Base,pound.svg (https://dl.airtable.com/.attachments/81db2f255d0b05e711ce699fa2586231/215b4604/pound.svg),井号，符号，字符，话题,齐 奉飞,2019-07-11
辐射,radiation,常用图标,Base,radiation.svg (https://dl.airtable.com/.attachments/578072e9b53d2518f56a3d12ed7fbda2/fc6ebb75/radiation.svg),辐射，有害，毒害，危险，警示,白明泽 白,2019-07-11
截屏,screenshot,常用图标,Base,screenshot.svg (https://dl.airtable.com/.attachments/1c8ae5888a44326b353adfac3b36177a/b9d0f9c8/screenshot.svg),截屏，录频，裁剪，截图,白明泽 白,2019-08-07
截屏,screenshot-two,内容编辑,ContentEdit,screenshot-two.svg (https://dl.airtable.com/.attachments/216b2553cc77c4f396d00920b0d4c257/bd1298cf/screenshot-two.svg),截屏，录屏，界面，剪刀,金 磊,2019-08-16
心电图,electrocardiogram,常用图标,Base,electrocardiogram.svg (https://dl.airtable.com/.attachments/682d854be4efd2433298a67492162c26/c19a496a/electrocardiogram.svg),报警，监控，监视,白明泽 白,2019-08-07
计时器,stopwatch-start,常用图标,Base,stopwatch-start.svg (https://dl.airtable.com/.attachments/8945dce039661409249b7da8e8c2603c/8c59a8c5/stopwatch-start.svg),计时器，倒计时，时间,白明泽 白,2019-07-11
拼图,puzzle,常用图标,Base,puzzle.svg (https://dl.airtable.com/.attachments/cd03e750ad912cd3d08d258835700388/10bf7c98/puzzle.svg),拼图，版图，拼接，组合,齐 奉飞,2019-07-11
火箭,rocket,常用图标,Base,rocket.svg (https://dl.airtable.com/.attachments/9f2491f709e30b73c0c68a161de2ba1f/2cfbff4a/rocket.svg),火箭，发射，上升，速度,白明泽 白,2019-07-11
城市,city,常用图标,Base,city1.svg (https://dl.airtable.com/.attachments/e41418fbe4bbf52b3e62c37969edbf1c/cd9c3bdf/city1.svg),城市，建筑，楼房,齐 奉飞,2019-03-28
页面,page,常用图标,Base,page.svg (https://dl.airtable.com/.attachments/6928745f963248f175a689602669045d/fe2ff58a/page.svg),网页，布局，排版，模块,刘心乐,2019-03-28
方向标识,road-sign-both,常用图标,Base,road-sign-both.svg (https://dl.airtable.com/.attachments/06f6ec417d1a4a0a5bd6944201f19b1d/725ce39b/road-sign-both.svg),方向标识，方向，指示牌，多方向,金 磊,2019-07-23
切换按钮,switch-button,常用图标,Base,switch-button.svg (https://dl.airtable.com/.attachments/c975812f62d3215f935554ad4b28bc7b/02c086de/switch-button.svg),切换按钮，开关，切换，组合,金 磊,2019-08-07
篮球服,basketball-clothes,服饰,Clothes,basketball-clothes.svg (https://dl.airtable.com/.attachments/42a932120ef1355c8f25b6814ab55a03/a6083c79/basketball-clothes.svg),篮球服，运动，篮球，球衣，衣服，号码,金 磊,2019-08-16
无效提醒,remind-disable,常用图标,Base,,闹钟，提醒，无效，时间，超时,金 磊,2020-02-11
音量减小,volume-down,"常用图标,声音","Music",,音乐，音量，声音，降低，无声，音乐,金 磊,2020-02-11
音量增大,volume-up,"常用图标,声音","Music",,音乐，音量，声音，增大，最大音量，音乐,金 磊,2020-02-11
箭头左,arrow-left,箭头方向,Arrows,arrow-left.svg (https://dl.airtable.com/.attachments/9270fb8d3d5213371752e34092841e14/0e139c07/arrow-left.svg),箭头，左,齐 奉飞,2019-03-22
箭头右,arrow-right,箭头方向,Arrows,arrow-right.svg (https://dl.airtable.com/.attachments/0211603d735f9e96baa00b19befc2307/f4552652/arrow-right.svg),右，箭头,齐 奉飞,2019-03-22
箭头上,arrow-up,箭头方向,Arrows,arrow-up.svg (https://dl.airtable.com/.attachments/3a383fee4e9cba37670b5cce528ee1b0/f455b971/arrow-up.svg),箭头，上,齐 奉飞,2019-03-22
箭头下,arrow-down,箭头方向,Arrows,arrow-down.svg (https://dl.airtable.com/.attachments/0a857b0dfa41b80e26472659a5b928dc/a36e43a5/arrow-down.svg),下，箭头,齐 奉飞,2019-03-22
右-小,right-small,箭头方向,Arrows,right-small.svg (https://dl.airtable.com/.attachments/2813cf79fb6a866852780aebfed0611d/611eea70/right-small.svg),箭头，右,齐 奉飞,2019-03-22
上-小,up-small,箭头方向,Arrows,up-small.svg (https://dl.airtable.com/.attachments/790c783d1bf99c9e84e5319bbb2c74d5/bf5a2908/up-small.svg),箭头，上，小箭头,齐 奉飞,2019-03-22
左-小,left-small,箭头方向,Arrows,left-small.svg (https://dl.airtable.com/.attachments/f5307a55712f4f541819a20d12655811/9dabaaa9/left-small.svg),左，箭头,齐 奉飞,2019-03-22
下-小,down-small,箭头方向,Arrows,down-small.svg (https://dl.airtable.com/.attachments/03c06a478648a4f002e15aae26950ac9/706ee43f/down-small.svg),下，箭头,齐 奉飞,2019-03-22
箭头右上,arrow-right-up,箭头方向,Arrows,arrow-right-up.svg (https://dl.airtable.com/.attachments/785627a7c78dbecc3d7c44ec3be6d8d3/df4c9ac9/arrow-right-up.svg),右上，箭头,齐 奉飞,2019-03-22
箭头右下,arrow-right-down,箭头方向,Arrows,arrow-right-down.svg (https://dl.airtable.com/.attachments/7ccbbd2fbc71d68dfc7a0d94e9134466/29faa6e4/arrow-right-down.svg),右下，箭头,齐 奉飞,2019-03-22
箭头左上,arrow-left-up,箭头方向,Arrows,arrow-left-up.svg (https://dl.airtable.com/.attachments/c2baadae969114beaee7b56111ba126a/0210df05/arrow-left-up.svg),左上，箭头,齐 奉飞,2019-03-22
箭头左下,arrow-left-down,箭头方向,Arrows,arrow-left-down.svg (https://dl.airtable.com/.attachments/41aff580e1a238ea3dfadf7889b9e230/4c1308d1/arrow-left-down.svg),左下，箭头,齐 奉飞,2019-03-22
左上-小,left-small-up,箭头方向,Arrows,left-small-up.svg (https://dl.airtable.com/.attachments/a3d13a02be798b2c79d22e94b0e09ba4/49c8ac2d/left-small-up.svg),左上-小,齐 奉飞,2019-03-22
左下-小,left-small-down,箭头方向,Arrows,left-small-down.svg (https://dl.airtable.com/.attachments/0732eb7addeb2cbd97893e4ca1b2ca2c/f08526f5/left-small-down.svg),左下-小,齐 奉飞,2019-03-22
右上-小,right-small-up,箭头方向,Arrows,right-small-up.svg (https://dl.airtable.com/.attachments/72b4a0f3e91841dcee24563059ad30f7/d9781dc0/right-small-up.svg),右上-小,齐 奉飞,2019-03-22
右下-小,right-small-down,箭头方向,Arrows,right-small-down.svg (https://dl.airtable.com/.attachments/59a63898dd602a4034652c2952477a83/1f5c6fae/right-small-down.svg),右下-小,齐 奉飞,2019-03-22
去右侧,to-right,箭头方向,Arrows,to-right.svg (https://dl.airtable.com/.attachments/d90156ae0d40b4b77037eeffbccfd179/e8ab7be8/to-right.svg),箭头，右,齐 奉飞,2019-05-31
去左侧,to-left,箭头方向,Arrows,to-left.svg (https://dl.airtable.com/.attachments/61ea53ca73efb0b618877304f6f8832b/cf84b2f8/to-left.svg),箭头，左,齐 奉飞,2019-05-31
去顶部,to-top,箭头方向,Arrows,to-top.svg (https://dl.airtable.com/.attachments/7c196771a5894e4b5a8be8e812e6c542/d3b483b2/to-top.svg),上，顶部,齐 奉飞,2019-05-31
去底部,to-bottom,箭头方向,Arrows,to-bottom.svg (https://dl.airtable.com/.attachments/a2523ab2fbf7b0aa2878f970feb6846e/594bd842/to-bottom.svg),下，底部,齐 奉飞,2019-05-31
右,right,箭头方向,Arrows,right1.svg (https://dl.airtable.com/.attachments/d9241d66edfe1077331f45807ead98f3/10fa4398/right1.svg),下一个，向右,齐 奉飞,2019-03-22
左,left,箭头方向,Arrows,left1.svg (https://dl.airtable.com/.attachments/b0dce14e7e3893a80a7800856a8b19c9/8523a081/left1.svg),返回，向左,齐 奉飞,2019-03-22
下,down,箭头方向,Arrows,down1.svg (https://dl.airtable.com/.attachments/4aab08af1d17e2df758dd0d6a5b9f9d3/c46df939/down1.svg),向下，箭头,齐 奉飞,2019-03-22
上,up,箭头方向,Arrows,up1.svg (https://dl.airtable.com/.attachments/d528d7cb5cc362d32e0a1ca27264447f/931d92ed/up1.svg),向上，箭头,齐 奉飞,2019-03-22
下载,download,箭头方向,Arrows,download1.svg (https://dl.airtable.com/.attachments/6f34c065b1c213b05be76d7d0af5161a/4d339046/download1.svg),下载，向下，箭头,齐 奉飞,2019-03-26
退出,logout,箭头方向,Arrows,logout.svg (https://dl.airtable.com/.attachments/216038a34247b89122cd22f22e835a19/6240afa8/logout.svg),退出，向右,刘心乐,2019-03-22
上传,upload,箭头方向,Arrows,upload1.svg (https://dl.airtable.com/.attachments/9c4ad183164fcc585dfab75aa1905d93/0bbdf5cc/upload1.svg),向上，上传,刘心乐,2019-03-26
进入,login,箭头方向,Arrows,login.svg (https://dl.airtable.com/.attachments/92c0a078f098dec41b51a1c277de0a72/fbb7e612/login.svg),进入，向左,刘心乐,2019-03-22
双左,double-left,箭头方向,Arrows,doubl-left.svg (https://dl.airtable.com/.attachments/cf4f4f0d7757ef2e27322de492426565/4ec2a6dc/doubl-left.svg),倒回，倒带，快退，双箭头,齐 奉飞,2019-03-22
双右,double-right,箭头方向,Arrows,double-right.svg (https://dl.airtable.com/.attachments/53ab43795e9bb62d119c7cd39943b6cc/ba46665b/double-right.svg),快进，右，双箭头,齐 奉飞,2019-03-22
双上,double-up,箭头方向,Arrows,double-up.svg (https://dl.airtable.com/.attachments/6e1798ec5e209c81d488f6d634790a5b/a2799058/double-up.svg),双上，上，双箭头,齐 奉飞,2019-03-22
双下,double-down,箭头方向,Arrows,double-down.svg (https://dl.airtable.com/.attachments/2a53db3f85e8b5bc51b7d3ffedd3311d/a2dd9c1c/double-down.svg),双下，双箭头,齐 奉飞,2019-03-22
上1,up-one,箭头方向,Arrows,up2.svg (https://dl.airtable.com/.attachments/731fa7427de690c65e07d06d6f0f87ea/396f30df/up2.svg),上1,齐 奉飞,2019-03-22
下1,down-one,箭头方向,Arrows,down2.svg (https://dl.airtable.com/.attachments/fb6018c184114113cee1a053b2bf6d5a/68b4fe56/down2.svg),下1,齐 奉飞,2019-03-22
左1,left-one,箭头方向,Arrows,left2.svg (https://dl.airtable.com/.attachments/3a1b8dd376d99a951824e0765d09ceaa/1df3fff4/left2.svg),左1,齐 奉飞,2019-03-22
右1,right-one,箭头方向,Arrows,right2.svg (https://dl.airtable.com/.attachments/2d45ed0e413e5ae33d3d9c7025f0b04a/92fb597b/right2.svg),右1,齐 奉飞,2019-03-22
全局放大,full-screen,箭头方向,Arrows,full-screen1.svg (https://dl.airtable.com/.attachments/d059cb4817afe7162cb043740e548f53/f4ff1d48/full-screen1.svg),全屏，放大,刘心乐,2019-03-26
全局缩小,off-screen,箭头方向,Arrows,off-screen1.svg (https://dl.airtable.com/.attachments/9ecbfecdca9ffe742620736189f04cb2/881cf767/off-screen1.svg),退出全屏，收起，缩进,刘心乐,2019-03-26
全局放大1,full-screen-one,箭头方向,Arrows,full-screen2.svg (https://dl.airtable.com/.attachments/0d2417779799e4325469d0f83e4de1c8/53ebb5a6/full-screen2.svg),全屏，打开，展开，放大,刘心乐,2019-03-26
全局缩小1,off-screen-one,箭头方向,Arrows,off-screen2.svg (https://dl.airtable.com/.attachments/64541c0681a93867d84f67a8980ceb5b/60d4a54a/off-screen2.svg),缩小，收起，缩小,刘心乐,2019-03-26
展开菜单,menu-unfold,箭头方向,Arrows,meun-unfold1.svg (https://dl.airtable.com/.attachments/bd960fcfb42e596d3c730c212cf77ecd/4743a20b/meun-unfold1.svg),展开，右侧展开,刘心乐,2019-03-26
收起菜单,menu-fold,箭头方向,Arrows,meun-fold1.svg (https://dl.airtable.com/.attachments/67439d07174055df181cf1fbfbb8a3f0/46b722ad/meun-fold1.svg),收起，左侧收起,刘心乐,2019-03-26
展开菜单1,menu-unfold-one,箭头方向,Arrows,meun-unfold2.svg (https://dl.airtable.com/.attachments/239b8b55ba2f099c094281de52ad1772/25ba6036/meun-unfold2.svg),收起，侧边收起,刘心乐,2019-03-26
收起菜单1,menu-fold-one,箭头方向,Arrows,meun-fold2.svg (https://dl.airtable.com/.attachments/94b7541ccd43fff3d1cf88090aa36dfc/a65a3d01/meun-fold2.svg),展开，侧边展开,刘心乐,2019-03-26
下载1,download-one,箭头方向,Arrows,download2.svg (https://dl.airtable.com/.attachments/9159fbf0a256a3105b4eae47b05f6bc2/aa84558e/download2.svg),下载，云下载,常留留 常,2019-03-26
下载2,download-two,箭头方向,Arrows,download3.svg (https://dl.airtable.com/.attachments/eb3d22b8f76b7ba8bbe59fa3dcc9f503/27b36240/download3.svg),下载，云下载,刘心乐,2019-03-26
上传1,upload-one,箭头方向,Arrows,Upload2.svg (https://dl.airtable.com/.attachments/95bab0706388945e440841b4be28dc2e/76b34273/Upload2.svg),上载，上传，云上载,常留留 常,2019-03-26
上传2,upload-two,箭头方向,Arrows,Upload3.svg (https://dl.airtable.com/.attachments/e5b09c3a539cd220839e3fa8d8191abf/57ecfb5c/Upload3.svg),上载，上传，云上传,刘心乐,2019-03-26
发送,send,箭头方向,Arrows,send1.svg (https://dl.airtable.com/.attachments/f5b5c7189db465891019fde9bef1e95a/3708cc14/send1.svg),飞机，发送，飞书,齐 奉飞,2019-03-26
驳回,reject,箭头方向,Arrows,reject.svg (https://dl.airtable.com/.attachments/7d98598abccc3eb1a256a73563f5742d/28cb65ec/reject.svg),拒绝，驳回，拒绝，不通过，有问题,常留留 常,2019-08-07
排序1,sort-one,箭头方向,Arrows,sort2.svg (https://dl.airtable.com/.attachments/8e354c942a79787adff8dd37cf12a7a7/4e3c54cd/sort2.svg),顺序，排序,刘心乐,2019-03-26
排序2,sort-two,箭头方向,Arrows,sort3.svg (https://dl.airtable.com/.attachments/ab455afca3e79bcc7ba253c9d4efcb9f/32cf3469/sort3.svg),排序,刘心乐,2019-03-26
排序3,sort-three,箭头方向,Arrows,sort4.svg (https://dl.airtable.com/.attachments/e2544438b277b82f9bad71afc941ef09/9cb10ca4/sort4.svg),排序，上下,刘心乐,2019-03-26
排序,sort-four,箭头方向,Arrows,sort.svg (https://dl.airtable.com/.attachments/121eb6fc51850b4952adf0afb63e6a6a/21a92568/sort.svg),序列，排列，调整顺序，顺序，箭头,常留留 常,2019-11-22
上-箭头,arrow-circle-up,箭头方向,Arrows,arrow-circle-up.svg (https://dl.airtable.com/.attachments/8b2a0286293d42be5aabee50a0ae5394/75f05697/arrow-circle-up.svg),向上，箭头，圆圈箭头,齐 奉飞,2019-03-22
下-箭头,arrow-circle-down,箭头方向,Arrows,arrow-circle-down.svg (https://dl.airtable.com/.attachments/876b976a6311da747b1a00ab34baf013/37cc2820/arrow-circle-down.svg),向下，箭头，圆圈箭头,齐 奉飞,2019-03-22
左-箭头,arrow-circle-left,箭头方向,Arrows,arrow-circle-left.svg (https://dl.airtable.com/.attachments/abe5614e9927c9682ac8e5dc026f0802/6b450f95/arrow-circle-left.svg),上一个，箭头，圆圈箭头,齐 奉飞,2019-03-22
右-箭头,arrow-circle-right,箭头方向,Arrows,arrow-circle-right.svg (https://dl.airtable.com/.attachments/a0ad75de02cf2191add092fc343c40dc/4a6bdf4d/arrow-circle-right.svg),下一个，箭头，圆圈箭头,齐 奉飞,2019-03-22
上-圆,up-c,箭头方向,Arrows,up-c.svg (https://dl.airtable.com/.attachments/3b7c967e985c06f670e4988d9db8a628/57dc9388/up-c.svg),向上，箭头，圆圈箭头,齐 奉飞,2019-03-22
右-圆,right-c,箭头方向,Arrows,right-c.svg (https://dl.airtable.com/.attachments/8a9028d891c97ab4f32d09f14b9afe82/0293f3f7/right-c.svg),下一个，箭头，右，圆圈箭头,齐 奉飞,2019-03-22
左-圆,left-c,箭头方向,Arrows,left-c.svg (https://dl.airtable.com/.attachments/62640346dc760385c513fbd0ad60b31b/1dc2a73b/left-c.svg),上一个，箭头，左，圆圈箭头,齐 奉飞,2019-03-22
下-圆,down-c,箭头方向,Arrows,down-c.svg (https://dl.airtable.com/.attachments/6ba2fbc9df849be12cdd345e6223ca73/1dea3df9/down-c.svg),向下，箭头，圆圈箭头,齐 奉飞,2019-03-22
下载3,download-three,箭头方向,Arrows,download4.svg (https://dl.airtable.com/.attachments/d87837ba4c45e59b242f9ce75aae0279/8c7fa72c/download4.svg),下，下载,常留留 常,2019-03-26
上传3,upload-three,箭头方向,Arrows,upload4.svg (https://dl.airtable.com/.attachments/c11178908285d1ec9ddb3b649aedbc5e/ce22c553/upload4.svg),上，上载,常留留 常,2019-03-26
安装,install,箭头方向,Arrows,install.svg (https://dl.airtable.com/.attachments/e02e53952565ddbb4911e1b48de34ba5/7488e6b4/install.svg),下，箱子，盒子，下载,常留留 常,2019-03-26
循环播放,play-cycle,箭头方向,Arrows,play-Cycle.svg (https://dl.airtable.com/.attachments/642d37e113faa82d93853a942f3c782d/afea5e5c/play-Cycle.svg),刷新，循环，播放,齐 奉飞,2019-05-30
循环一次,loop-once,箭头方向,Arrows,loop-once.svg (https://dl.airtable.com/.attachments/5df4543beb0e3622740b0d5cb902aef1/f6d5f64d/loop-once.svg),循环，单次循环，播放,齐 奉飞,2019-05-30
播放一次,play-once,箭头方向,Arrows,play-once.svg (https://dl.airtable.com/.attachments/605102ca58fe675da6c38c32b05c6bc6/3ae1ce6c/play-once.svg),箭头，左，播放，循环，单次循环,齐 奉飞,2019-05-30
返回,return,箭头方向,Arrows,return.svg (https://dl.airtable.com/.attachments/5915609d2b5a94a9722aa00795007a74/1857322d/return.svg),重做，返回，箭头,刘心乐,2019-03-26
上一曲,go-start,箭头方向,Arrows,go-start.svg (https://dl.airtable.com/.attachments/78a76b7218e0c583285953982b83fdd0/1abe1909/go-start.svg),上一个，上一首，上，箭头,齐 奉飞,2019-05-31
下一曲,go-end,箭头方向,Arrows,go-end.svg (https://dl.airtable.com/.attachments/e512af7f860836a95066dbe6fc68f859/06db6d60/go-end.svg),下一个，下一首，上，箭头,齐 奉飞,2019-05-31
去底部1,to-bottom-one,箭头方向,Arrows,to-bottom2.svg (https://dl.airtable.com/.attachments/6e6a0c6ea6f6df15461a4187ff8dc41a/225b1df6/to-bottom2.svg),箭头，下，底部,齐 奉飞,2019-05-31
去顶部1,to-top-one,箭头方向,Arrows,to-top2.svg (https://dl.airtable.com/.attachments/bd25d92278cfdc4fdff0e254867fc637/afccb4b6/to-top2.svg),箭头，上，顶部,齐 奉飞,2019-05-31
旋转,rotate,箭头方向,Arrows,rotate.svg (https://dl.airtable.com/.attachments/2c936aca73f70d67b05f61762d163df7/0521e53e/rotate.svg),旋转，翻转，90 度旋转，flip,齐 奉飞,2019-05-31
全局放大,full-screen-two,箭头方向,Arrows,区域图备份 2.svg (https://dl.airtable.com/.attachments/97b76221b2c07efc5e676db23db53771/553da41d/2.svg),放大，全屏,金 磊,2019-10-12
全局缩小,off-screen-two,箭头方向,Arrows,区域图备份.svg (https://dl.airtable.com/.attachments/97f79079f699f016361a191b2202fd00/a96a6335.svg),缩小，小屏,常留留 常,2019-10-12
向内移动,move-in,箭头方向,Arrows,向内移动.svg (https://dl.airtable.com/.attachments/2044cda9d9cc614acbeac3aeddf4dff2/acba5564.svg),移动，剧中，聚合,金 磊,2019-10-12
循环移动,cycle-movement,箭头方向,Arrows,循环移动.svg (https://dl.airtable.com/.attachments/82fb3ee20c0dadf6732020d43d617eae/9dc61b12.svg),循环，移动,金 磊,2019-10-12
纵向旋转,rotation-vertical,箭头方向,Arrows,旋转-纵向.svg (https://dl.airtable.com/.attachments/7d05441428ffcbb3ef3dd78740a23171/6338cd78/-.svg),旋转，纵向,金 磊,2019-10-12
横向旋转,rotation-horizontal,箭头方向,Arrows,旋转-横向.svg (https://dl.airtable.com/.attachments/1e465b28a240172d42bfda53fffb0754/72264bed/-.svg),旋转，横向，水平旋转,金 磊,2019-10-12
循环,cycle,箭头方向,Arrows,循环.svg (https://dl.airtable.com/.attachments/7ef632cb348842219460e7097b4804bd/26ae9ad1.svg),连续，持续，轮回，圆圈，链接，抽象,金 磊,2019-10-12
回收池,recycling-pool,箭头方向,Arrows,回收池.svg (https://dl.airtable.com/.attachments/5836ad8a8a50d1aa66159b1743cd0407/58cd8e1f.svg),聚合，收拢，回收，沉淀,金 磊,2019-10-12
字母倒序,alphabetical-sorting-two,内容编辑,ContentEdit,alphabetical-sorting-two.svg (https://dl.airtable.com/.attachments/066ea2afddf339979d20346bcc19bfb0/8c4f8a8a/alphabetical-sorting-two.svg),字母倒序，排序，顺序,金 磊,2019-08-16
字母顺序,alphabetical-sorting,内容编辑,ContentEdit,alphabetical-sorting.svg (https://dl.airtable.com/.attachments/f8813627e76f6b783c282c66bba14daf/4248c7e2/alphabetical-sorting.svg),字母顺序，排序，顺序,金 磊,2019-08-16
排序,sort,箭头方向,Arrows,sort1.svg (https://dl.airtable.com/.attachments/8397e2063763e6333a41490a35f4326a/dceeb90f/sort1.svg),排序,刘心乐,2019-03-26
发送1,send-one,箭头方向,Arrows,send2.svg (https://dl.airtable.com/.attachments/5d2ebca406af8b30f57ef3e7411ad05c/cf78e7e6/send2.svg),飞机，发送，飞书,齐 奉飞,2019-03-26
可回收,recycling,箭头方向,Arrows,勋章备份.svg (https://dl.airtable.com/.attachments/53873cc60cec26bba1d3a53ef74b283f/c3fe6190.svg),组件，循环，可持续，新能源,金 磊,2019-10-12
更改,change,箭头方向,Arrows,change.svg (https://dl.airtable.com/.attachments/0d3d3c316284d343fd8526ded3f77d94/5cf299bf/change.svg),修改，改变，调整，数据，图表,常留留 常,2019-11-22
传出,outgoing,箭头方向,Arrows,outgoing.svg (https://dl.airtable.com/.attachments/aecea72f6f032ddef7961357746c5f4c/860b131c/outgoing.svg),传出，传送，输出，数据，线，传出数据,常留留 常,2019-11-22
输入,incoming,箭头方向,Arrows,input.svg (https://dl.airtable.com/.attachments/ec5c97f3668a38d9a8c2a9f323483ca4/69d26f98/input.svg),输入，传入，数据，录入，线，输入数据,常留留 常,2019-11-22
双向数据互传,transfer-data,箭头方向,Arrows,transfer-data.svg (https://dl.airtable.com/.attachments/19ffbd3effaece2c39bf49583970af93/77d7555f/transfer-data.svg),传输，传送，传出，传入，互传，线,常留留 常,2019-11-22
向下左角,corner-down-left,箭头方向,Arrows,corner-down-left.svg (https://dl.airtable.com/.attachments/cea1417d002112d413610c4938819968/6be25cd1/corner-down-left.svg),向下，左角，左下，左，左边，下，方向,常留留 常,2020-01-17
向下右角,corner-down-right,箭头方向,Arrows,corner-down-right.svg (https://dl.airtable.com/.attachments/77ebd60a5eb2838d4abe6b8ee6ccc6e8/3199be1d/corner-down-right.svg),右角，向下，右下，右，右边，下，方向,常留留 常,2020-01-19
左角向下,corner-left-down,箭头方向,Arrows,corner-left-down.svg (https://dl.airtable.com/.attachments/f955c508dfc65f7ec2041812bd94090c/be7e53cb/corner-left-down.svg),向下，左角，左下，左，左边，下，方向,常留留 常,2020-01-19
左角向上,corner-left-up,箭头方向,Arrows,corner-left-up.svg (https://dl.airtable.com/.attachments/235cd79469d2ac0c92a27a816f5433f4/1bd669e6/corner-left-up.svg),向上，左角，上，左，左边，方向,常留留 常,2020-01-19
右角向下,corner-right-down,箭头方向,Arrows,corner-right-down.svg (https://dl.airtable.com/.attachments/4d5b90ea72e4c5613eef970ebac1c65c/8b230967/corner-right-down.svg),向下，右角，右边，右，右侧，下，方向,常留留 常,2020-01-19
右角向上,corner-right-up,箭头方向,Arrows,corner-right-up.svg (https://dl.airtable.com/.attachments/e5d43df186b8fc23188f5d27a80a8654/f6a5535d/corner-right-up.svg),向上，右角，右边，右，上，右侧，提升，上升，方向,常留留 常,2020-01-19
向上左角,corner-up-left,箭头方向,Arrows,corner-up-left.svg (https://dl.airtable.com/.attachments/9b928b35084f19a05f169c93f406d5c7/027a3a41/corner-up-left.svg),向上，左角，左上角，左拐，左侧，方向,常留留 常,2020-01-19
向上右角,corner-up-right,箭头方向,Arrows,corner-up-right.svg (https://dl.airtable.com/.attachments/6d9dda2c48902aae172a83a02be34117/a37b3fb4/corner-up-right.svg),向上，右角，向右，右上角，右拐，右侧，方向,常留留 常,2020-01-19
洗牌,shuffle,箭头方向,Arrows,shuffle.svg (https://dl.airtable.com/.attachments/9423d1cc8670935260ccad8e79f09f49/f8953e17/shuffle.svg),刷新，混合，回库，交叉,常留留 常,2020-01-19
洗牌,shuffle-one,箭头方向,Arrows,shuffle-one.svg (https://dl.airtable.com/.attachments/dc1fe68c85a05c26565a5d4ba98c53c2/adc9165f/shuffle-one.svg),刷新，混合，回库，交叉,常留留 常,2020-01-19
趋势下降,trending-down,箭头方向,Arrows,trending-down.svg (https://dl.airtable.com/.attachments/a55aa7c682df085eba7cff0a1c7b15ae/f10c104a/trending-down.svg),下降，向下，降低，下跌，趋势,常留留 常,2020-01-19
趋势上升,trending-up,箭头方向,Arrows,trending-up.svg (https://dl.airtable.com/.attachments/cd569f1cd3a92e25bb9f511e631f2cd3/2d078789/trending-up.svg),上升，向上，提升，趋势,常留留 常,2020-01-19
Figma 选择箭头,figma-flatten-selection,箭头方向,Arrows,,向下箭头，箭头,金 磊,2020-02-11
右对齐,align-right,编辑操作,Edit,align-right.svg (https://dl.airtable.com/.attachments/f9140752507b0263acee3d73cb423016/4d146ad0/align-right.svg),右对齐，对齐,刘心乐,2019-05-27
底对齐,align-bottom,编辑操作,Edit,align-bottom.svg (https://dl.airtable.com/.attachments/d007e3ec9e34f468248cc110880828fd/f5ffca98/align-bottom.svg),对齐，底对齐，下对齐,刘心乐,2019-05-27
垂直对齐,align-vertically,编辑操作,Edit,align-vertically.svg (https://dl.airtable.com/.attachments/883b8d6825ddc8848dfca47e44289e13/77b11de5/align-vertically.svg),对齐，中间随其，居中对齐,刘心乐,2019-05-27
水平对齐,align-horizontally,编辑操作,Edit,align-horizontally.svg (https://dl.airtable.com/.attachments/31655272f2a6d5dcb1d6dfedf985cbbd/79429702/align-horizontally.svg),居中对齐，中间对齐，对齐,刘心乐,2019-05-27
左对齐,align-left,编辑操作,Edit,align-left.svg (https://dl.airtable.com/.attachments/edaf7266300ca7a35329475ef90d4f05/74aa405e/align-left.svg),左对齐，对齐,刘心乐,2019-05-27
顶对齐,align-top,编辑操作,Edit,align-top.svg (https://dl.airtable.com/.attachments/34a59805aafb741477364b8e0b580b1c/71677e59/align-top.svg),顶部对齐，上对齐，对齐,刘心乐,2019-05-27
水平分布,distribute-horizontally,编辑操作,Edit,distribute-vertically.svg (https://dl.airtable.com/.attachments/1afb5e6011a1de81a9e0091c8c2cadd9/8ba0c8ac/distribute-vertically.svg),水平分布，分布,刘心乐,2019-05-28
垂直分布,distribute-vertically,编辑操作,Edit,distribute-horizontally.svg (https://dl.airtable.com/.attachments/563833a07c01065bb279445cb292b0c8/7cea6b7e/distribute-horizontally.svg),垂直分布，分布,刘心乐,2019-05-27
文字底对齐,align-text-bottom,编辑操作,Edit,align-text-bottom.svg (https://dl.airtable.com/.attachments/1166a303650963fa568ac9b683ada8d7/ede6aabd/align-text-bottom.svg),底对齐，文字对齐,刘心乐,2019-05-29
文字中间对齐,align-text-middle,编辑操作,Edit,align-text-middle.svg (https://dl.airtable.com/.attachments/2e601292baad25d5410b406bd1851a58/24861308/align-text-middle.svg),文字居中对齐，对齐，居中,刘心乐,2019-05-29
文字顶对齐,align-text-top,编辑操作,Edit,align-text-top.svg (https://dl.airtable.com/.attachments/c89037ab0db76e29fa760f6be3338586/ab1d0537/align-text-top.svg),文字顶对齐，对齐，文字对齐,刘心乐,2019-05-29
下层,send-backward,编辑操作,Edit,send-backward.svg (https://dl.airtable.com/.attachments/e7d2c22077bc09e2ae5e36c6802ca443/db05c0fc/send-backward.svg),下层，底层,刘心乐,2019-05-30
上层,bring-forward,编辑操作,Edit,bring-forward.svg (https://dl.airtable.com/.attachments/3929fed335d32caa459ae7b2e8fe4311/a746abfb/bring-forward.svg),上层，顶层,刘心乐,2019-05-30
